ElectDist,mhhi21,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services [except Public Administration],Public Administration,h21p,nha21p,nhb21p,nhw21p,cvap21bapp,cluster
59042,24689.475675821304,5.524982323925888,2.99826391604548,5.589864583372935,12.700156827964529,3.2646796515378043,4.20719019618176,6.80873653393396,2.677377436746007,7.974474493883247,1.5177987618474131,5.256138214290533,4.623536996944113,21.82787788850151,2.3614579702994165,6.644323652307892,4.5568028218346495,0.0064308681672025,13.335995208624476,9.942104212417648,0.0,74.06667997604313,26.648275862068964,0
59044,18452.59800478816,5.524982323925888,2.99826391604548,5.589864583372935,12.700156827964529,3.2646796515378043,4.20719019618176,6.80873653393396,2.677377436746007,7.974474493883247,1.5177987618474131,5.256138214290533,4.623536996944113,21.82787788850151,2.3614579702994165,6.644323652307892,4.5568028218346495,0.0064308681672025,13.335995208624476,9.942104212417648,0.0,74.06667997604313,26.648275862068964,0
59047,86300.00816655517,3.672162300251869,2.157940856732852,2.9910010068104778,12.836750570541556,5.7880173709354885,2.9925281601469185,4.828179514117072,2.521829515412857,5.699518137373408,2.071490527826405,7.743561642924876,3.510437503151863,29.20963845289808,1.4093920306437016,7.794495952938032,4.031527662929529,0.0,2.173913092353266,9.440993808389416,82.54658519278456,1.6770187231483735,36.07843192003915,5
59048,6949.377209316008,5.307616130558482,4.000655293340285,5.522326521601757,14.629015871573548,4.605479095223506,2.572368277907386,4.368184238345851,3.0272608236875937,6.665474329353028,1.054955764191364,5.162173076006345,3.498459463467956,23.96576084619833,1.3689345387215597,8.735119888903817,5.063299788819371,0.0,12.253663880098872,8.14033513406671,20.6067564317094,56.79607358134097,29.7185000740816,0
59049,13772.84909427166,3.0905657780952085,2.710213313016626,3.175308389707734,14.029297821090784,6.6068289330632215,2.7687405189018968,3.432646588604821,2.681038600319064,4.40628416808169,1.363567276986806,8.865890923220434,3.418168536384961,28.211909893061385,1.9678376031292832,8.530111117403873,4.261130630887836,0.0,25.0057090659968,0.0,70.72390956839462,1.0733044073989495,8.77708409842086,5
59051,72242.10027739815,5.349714623122549,2.795072022248631,4.832185489210425,13.313119057789612,4.05737066542553,3.5671025983418523,6.478375417285395,2.925152394568973,6.594173451749267,1.2803243052008126,5.370649998644588,4.320445029947879,24.46816113250216,1.5911110962358848,7.239785553657756,4.900139900532885,0.0,11.785116959445077,18.07366596937033,15.494779516344362,48.7598878127444,32.10373974296654,0
59052,47636.66856382042,5.405156715074211,2.906330214004644,5.650439685405779,13.24628190783871,3.476969622113594,3.4287413826596187,6.608313094811924,3.0103476219910146,7.592467669878833,1.244552496735012,4.295541298526807,4.850301221747544,24.3967040875116,1.8149156197738736,6.587710914910048,4.786449007653137,0.0,5.763986827948442,5.227126300492037,4.241394776765313,76.99589356365118,48.5871518302398,0
59053,39457.162953555584,5.372365439247694,2.9165772139658883,5.855092546850768,13.09277664491367,3.318784935303298,3.3654824105627283,6.560293814023886,3.068809165582971,7.91652167643319,1.2520711010564718,4.069003577261342,5.015649242175208,24.554512054397623,1.8478207999421392,6.434505917862704,4.7367327252260285,0.0,3.0303030303030303,1.5238095238095235,1.4891774891774892,85.97402597402596,53.03386641580433,0
59054,39231.13826927543,5.477055334386576,2.938940797055139,5.734006943232821,13.401069106226492,3.436296453296229,3.435631480448075,6.626120724722183,3.065355683687056,7.525694267086436,1.2293810964792458,4.276647812087818,4.874862477892656,24.06942830806417,1.8182507012071936,6.55023130573291,4.834333177071009,0.0,6.1223026696934175,6.167105385361196,2.2588257896927564,77.08474519755013,47.633331352904605,0
59055,18999.77860163152,5.372365439247694,2.9165772139658883,5.855092546850768,13.09277664491367,3.318784935303298,3.3654824105627283,6.560293814023886,3.068809165582971,7.91652167643319,1.2520711010564718,4.069003577261342,5.015649242175208,24.554512054397623,1.8478207999421392,6.434505917862704,4.7367327252260285,0.0,3.0303030303030303,1.5238095238095235,1.4891774891774892,85.97402597402596,53.03386641580433,0
59056,57876.778123222815,4.376810385409034,3.001630886058321,3.947730407704196,12.13546225292488,4.845909449181299,2.849093144557131,5.800135275980037,2.758617382329704,6.474070706634085,1.2612903079165745,6.037865437708692,4.22614088024302,27.75446232893339,1.8108546638178524,7.390351804541613,4.577733309345767,0.0,9.911764910071946,2.3235295374513525,47.61764801505017,38.29411856532502,34.46955285052728,5
59057,29951.29583890736,4.7392412784995095,2.7378046084609817,4.278041853342372,12.31285058910887,4.422241179901542,3.32005640191646,6.339090515779951,2.5207235465498368,7.022763879000994,1.3202739981070473,5.362152543462746,4.218231982523468,26.991502569265883,1.7359480862354015,7.326173309003717,4.544626585348267,0.0,10.02174633025142,5.768787404363781,33.96367527558955,48.031134911834,41.36841235491418,0
59058,24920.739064260088,4.908366065605488,2.614693329564903,4.43217841298404,12.3956281389782,4.224541618091636,3.53982644928163,6.590588568457718,2.4097133283495498,7.278806098190135,1.3477982112228533,5.046839295915972,4.214541823241395,26.635478821447407,1.700993956103763,7.296225901354642,4.529178177799481,0.0,10.073068957554264,7.376478790235247,27.59220629228149,52.574808876453226,44.587691781891,0
59059,44529.31112403236,5.75003408877032,3.0727475192850835,5.048158454775555,13.30351927881623,4.258079055261304,3.3644945548510323,6.662442628822047,2.942059794975155,7.375452587775143,1.2788291004686347,4.611681455500609,4.515419414578093,23.18979155384242,1.8268522976802823,7.017688828792636,4.75661410016471,0.0,7.663537283986383,4.226869229032386,16.504404333983587,68.57057592332137,41.930328815303774,0
59060,56733.924359551165,5.43292155325527,2.9699523131725725,4.813865375738591,13.273306022818405,4.282706233694581,3.4135875143802163,6.702428661500771,2.8249466507648675,7.242606838858532,1.2809860064574328,4.792456457925534,4.357052599354239,23.98555099431408,1.7568676580549167,7.183928817938528,4.698761591722027,0.0,8.796224014353129,5.405515449474152,21.42547726395341,62.852577397428014,41.29738955985452,0
59061,35463.85211353004,6.778234636684938,3.250836596799181,5.420908869364102,12.716529242428765,4.438684399001312,3.26677623446702,6.426025808415055,3.025431798446292,7.784951147991594,1.3395878932747205,4.258948650231812,4.888076088356774,21.664343086050454,2.070222976626644,6.61377510587567,4.859712235845784,0.0,5.612175829535479,1.9077591480179932,6.304647558420764,77.62479713749191,43.6200145582599,0
59062,105774.93966715924,6.85139394099349,3.1910042635000155,5.409605156583199,12.351646987620228,4.447977637607252,3.2798801555159365,6.343872656400054,2.9333154743620558,7.890140751266867,1.3701788284061522,4.244105823314326,4.9366802545897945,22.071409625317703,2.1075296957748817,6.549145443553311,4.835814617123035,0.0,5.449826688911707,1.903114080545296,5.565166950590857,77.04728520996213,45.028756690944434,0
59063,2308.6418601654136,3.090565676296768,2.710213189623337,3.175308257562217,14.029297119470336,6.606828589508186,2.768740421861422,3.432646532064744,2.681038480878754,4.406284034798888,1.3635672353847572,8.865890419386059,3.41816837529262,28.211909009547963,1.9678374815815167,8.530110672957868,4.261130487075542,0.0,25.0057064509343,6.470807074261297e-07,70.72390637052646,1.0733053919581608,8.777085493119996,5
59064,41441.87132787506,3.394651215460072,1.910671851161646,2.6543851629068302,10.359976525878407,6.246070723186514,2.857119271589872,4.792817209037877,2.1746589517021597,4.946681380541987,1.432363012139203,8.273094993681694,3.685085136414905,33.48481387606998,1.6784142583374568,7.382290427433118,3.8769330988295834,0.0,6.263601965973057,0.5262533040136345,84.84675881582362,7.56359339736952,36.41543751223643,5
59065,26446.250433601093,3.257023841191231,2.160736465792888,2.5682717760418563,10.631327612270525,6.6214837765045615,2.4911751044316635,4.330510208052798,2.337801221545918,4.856962515733287,1.4179771722265688,7.92789473279982,3.637637173545446,34.54935613136765,1.4832388661931253,7.462499124817288,3.884079333783867,0.0,1.744851298906259,2.946224082187863,88.41533426576416,5.091533590227754,36.57921299642032,5
59066,35724.617673903704,3.318837848149337,2.2954374167328337,3.017694758887549,11.236769007818877,6.674705435951635,2.755593123177165,4.637297010378106,2.4995289051734826,5.037300122979827,1.3457056973786123,7.76108665612476,3.539333185270213,32.41398828000212,1.398534394494669,7.491964880541971,3.9917913127478712,0.0,3.295117766692576,4.798341140786219,86.45740505150162,2.8381035517089748,30.596785536343763,5
59067,109916.02736862763,3.464113538994105,2.417536209868798,3.372865284025006,12.018342530173497,6.470333558564428,2.828254907580677,4.546503820173434,2.6725364360540675,5.06985298229257,1.244868271217917,7.677267141551393,3.400643795272817,30.78576166576149,1.4502565236418488,7.646408821719497,4.2782061694077145,0.0,9.240932474142245,5.165116877518166,77.73884225048324,2.73972060169648,22.29272068796036,5
59068,51615.18935215473,3.764833548956277,2.330675540805305,3.611737101746377,11.620470959449229,6.032393151016331,2.5054617794017746,4.336779430644114,2.0585907194129955,4.802823728151732,1.0937880885073512,7.356886867707466,3.6149215392498544,33.20111346400206,1.5356970498416578,7.470338224660566,4.089346687533814,0.0,6.172177823993275,1.9249346949926949,82.3118402418896,5.657974908668141,27.225488553053346,5
59069,58252.77956697454,3.6165206547409623,2.3293432921177497,2.945592755307165,12.19713846681891,6.322969739419357,3.033186430348297,4.804507496404183,2.655629524063204,5.167154558238729,1.4099794554465723,7.744116196968881,3.886514365805201,29.738554090299587,1.3944191500084575,7.542410393358934,4.434710863453898,0.0,8.407870595150538,1.610018029556915,81.35062422992932,6.976743931677239,31.42857120975047,5
59070,72708.84318459574,3.4343064385882665,1.966006129618896,2.499409347099271,10.703290028801876,5.418146486805425,2.973432842071977,4.565245741872723,2.522706245516456,5.416634639199558,1.3526148637451327,7.980098232862325,3.3419629058616027,34.312049097206746,1.677971027514085,7.111618204314234,4.116050011369306,0.0,4.058383908173064,3.3819866667238663,79.45888465366768,5.8739765227021214,35.89315598720335,5
59071,44093.30534751131,3.1018159283404247,1.8991250482892557,2.924534958863348,10.78042089871374,6.305550045112762,2.717835628826207,4.427038822859886,2.293165521857675,4.965940622926514,1.3307346200272272,7.037011775035308,3.3972100259917,35.1581209012451,1.415061029624379,7.444683047676119,4.110980230836583,0.0,2.296937324588406,1.0652464904738774,87.88281623494045,4.727030374531207,42.28571063703591,5
59072,35764.872901085604,3.394759583468029,1.9104745036997408,2.6544529368223864,10.359761935887269,6.245774307513591,2.857407765470344,4.793181603325746,2.174530160145907,4.94675188312998,1.4323742867870093,8.273366865403366,3.685122364949307,33.48397253207006,1.6785681194936708,7.382226779874031,3.8769272536995145,0.0,6.267165672078348,0.5243445401574269,84.84394007097535,7.565542623541572,36.415306682640654,5
59073,63483.643547664535,3.041167933737444,1.8445588349904505,2.602196382336911,10.734645480406233,6.196810399852829,2.876275888991118,4.500145982595838,2.3400781720454877,5.206693751141778,1.4190005374715895,7.769276068098332,3.509145005631422,34.5601789594178,1.4451058332340674,7.4009260316219,4.027673967118248,0.0,3.5309383246868373,2.1719113654931834,83.472349794947,4.59469490939832,36.422035773898735,5
59074,70635.88574987181,3.167232161913991,2.2260931960191743,2.724445479848695,10.805390712725012,6.278831274347384,2.7070844484226866,4.194868091519249,2.1830848250862616,5.3259897466348045,1.5698359033109657,8.392113500701765,3.359799191967375,33.63013352163671,1.4669473160715585,7.308669994268577,4.184637503157133,0.0,2.847458213721265,0.9748027420102952,83.63719485399416,5.711013849660857,34.15944469713211,5
59075,69732.66576844454,3.4483794269892387,2.560258421510946,3.0738385990684085,11.409410635905765,6.097149590693497,2.6591647874281192,4.248673703358711,2.256522186743092,4.992974697587843,1.3971749174423111,7.73897501169266,3.223503062470317,33.115033223995326,1.498701789902532,7.366717032145383,4.368717345529418,0.0,4.690574059635736,3.386033868657908,77.0654537818211,9.06172300869044,29.678093442378,5
59076,43105.303178966045,3.350037026448689,2.660603404984872,3.1986365454610928,12.334336125865883,5.663024650656963,2.983265054234605,4.43847243348569,2.575117549607909,4.848169814212795,1.415824440101476,6.916640553116286,3.0657675657595207,32.41983691817168,1.4579902215319664,7.215101260903869,4.827238810852463,0.0,5.32994923857868,7.994923857868021,63.07106598984772,17.470389170896787,30.04087193460491,5
59077,37161.12294739485,3.804042055524672,2.407541512064024,2.7777624157902947,10.824557061050124,6.217639350182928,2.820346525568527,4.201115237116749,2.3151510818554417,4.82910941605164,1.3938439496691464,7.853895004838444,3.36347194349538,33.304492729815784,1.4473698440179508,7.551127561215132,4.41698161271502,0.0,14.183062604758778,2.0883956339038527,74.0714619072811,6.933999589790454,29.151120013225714,5
59078,21022.75835188117,3.829309654804076,2.10805437172994,2.744206590100008,10.145395070984591,6.738796284920354,2.94057300982866,4.364998751362512,2.7677226000213677,5.4437811556527205,1.4441637048929323,8.138725064328343,3.4239878021909584,31.208429014388702,1.6832345638035524,7.66329605227622,4.923716546544368,0.0,14.297029559979904,2.4950498117516986,71.84158284179944,1.5049511923752918,38.83958974360077,5
59079,23305.5216088742,3.203442870112659,2.0704227892903067,2.6912612256912345,10.68279777135358,6.5124169732317325,2.569423021927417,4.363833910656194,2.3223920722728977,4.894584027550218,1.387859241564674,7.620343473404726,3.5546367705125954,34.75951459952083,1.4597024766585878,7.456348723134838,3.962410269280878,0.0,1.9354428202956773,2.296871770934665,88.23149871883037,4.965699359073499,38.549215227997024,5
59080,101958.02279694378,3.764457609869551,2.464370217797732,3.4353034789754315,12.244689493010046,6.118313675751889,3.01781177094665,4.814906427364015,2.446303410304524,5.647818431568426,1.3896135947251245,7.019760523130125,3.3323568657167217,30.00989320379301,1.697540133312046,7.42425385914994,4.445996817100768,0.0,13.2166483690421,3.7628193059268575,70.84160187836768,8.957833993403563,31.59465112256205,5
59081,48190.37141221762,3.7466384296772905,2.504796362753864,3.097252850653684,11.63808239526055,6.239062558516327,2.6925608688754137,4.562782083884082,2.37057965788324,4.887338310739746,1.2033168307283764,7.626657022551714,3.5783203010036795,31.93172733182983,1.506074732270521,7.610963782671002,4.178472989551212,0.0,8.057908620400156,2.677787948743243,80.60540857269423,5.328063801128804,25.727379789126417,5
59082,72532.05760241923,3.621211136584334,2.35961181410357,3.3114753136680086,12.311689034864663,6.00564352185328,2.508435621606346,3.907109905302643,2.616056288486418,4.828544593733771,1.185582031262252,7.74563620048696,3.386430015760518,31.73939035715922,1.6642555971462332,7.802136167709224,4.550373938264707,0.0,15.63497062977765,2.382989109342873,67.87225045089477,6.518036964224648,19.63270685361662,5
59083,25558.97310207784,4.680035753315187,2.780902324946545,4.2240832569652005,12.283872877976115,4.491450108716204,3.2431214215469994,6.251048559793826,2.5595850310704336,6.933131159216165,1.3106386077340564,5.472534600826384,4.219523896769748,27.11613668070718,1.7481845436365742,7.336657188782212,4.550034725496189,0.0,10.003780013298671,5.20598186822074,36.1941407502144,46.44052883872496,40.24143786765504,0
59084,52312.85781446099,3.2159280068845773,1.8869350230952489,2.446920589950455,10.704307034177235,5.776516968983792,2.975659934693588,4.556027111165871,2.445590829494029,5.388522305057957,1.4147724828204309,8.110803032511308,3.462741241910096,34.243725668988034,1.5699957524850878,7.243681154077304,4.044383417306143,0.0,4.191615474283678,3.128896949929901,80.05853193097754,5.184434785823445,34.26051082827579,5
59085,23975.42587964899,3.2521472927368062,2.1803432147682758,2.7309917506898214,10.636495084357176,6.419146272414043,2.6403528851833453,4.456681304364327,2.184207262246691,5.04991734879945,1.4511951424328768,8.419393200828777,3.5550995131024687,34.19070038921492,1.4151053718787014,7.142985000483412,3.644298152843273,0.0,2.687785913057104,0.1303897781318493,87.99373998628403,8.059367105158943,28.325474247103955,5
59086,7608.946609061229,3.2710463051078325,2.135437054520912,2.867752343009513,12.360174770863042,5.680222221669734,2.804271463987222,4.489388876950616,2.649462116766081,4.8616588152662175,1.3388158853885892,8.86485654707231,3.0020737965817634,30.660010236499215,1.651693873860285,8.32595006061492,4.358221202059142,0.0,10.780229382287985,0.8933896762641155,79.27337185894496,7.564025665083946,17.989426387554325,5
59087,4283.416161005968,2.9658230301908555,1.6669918696413446,3.094213977437064,10.767362753789206,6.57266645680153,2.9581341470336624,5.381710554044105,2.744089171732019,4.944549433021426,1.7506969822006422,7.946848039924334,3.181850626740931,32.564934356970475,1.195416761859199,7.139634270158632,4.336639881014275,0.0,14.502369973605257,1.074249605055292,72.48025514137484,1.2006320752298925,28.57850488955575,5
59089,0.0001621082066625,6.610519452060926,4.830685924082411,5.217278691246838,17.79378802847243,3.4193775519612304,2.211544396690841,3.3091312656511924,4.181434615063472,5.28100020528231,0.9797880258716172,5.363228391768193,4.622444909839103,18.342910921668103,1.26829403303051,10.370118388183457,5.987883632994891,0.0,9.664694280078894,7.232084155161078,46.48257725180802,31.45956607495069,31.6257187663356,0
60001,16355.524907105144,3.649006519047559,3.230506953163928,3.5237385658188605,14.028030567666333,5.997712259560815,2.280517998613466,2.871421208125221,2.8191009041844364,4.380770203020242,1.2779675755113702,9.2750221817392,3.6188705500662,27.242945073961945,1.7421957574238809,9.434318401533288,4.124755012534086,0.0,27.24689512161669,0.3785966412423099,68.84666149057519,0.853128717284424,5.115560084433943,5
